size,demand,cost,location,use_type,roi,risk_score,tax_saving,demand_forecast,material_cost,land_score,investor_score,recommendation_score
1887,0.6139449994092131,270803,New York,Residential,8.98,0.4358781254601271,15.1963801505693,0.5682541275364985,212334.13,7.264692765484207,34.11645956973831,0.5427504008305486
2033,0.6963468111608525,352049,Chicago,Residential,9.34,0.5147233354177154,19.794888142510512,0.8495385519032076,239118.49,9.97106901566876,39.43124969142251,0.627326086594197
1287,1.0,151838,Chicago,Residential,17.04,0.33402157500973906,8.692515535721565,1.0,120241.53,4.78513154784291,73.19769866142289,0.8367913699961044
1727,0.9591314755151066,23536,Austin,Industrial,14.63,0.34589926548624983,19.03480282823284,0.9040900767986335,174764.55,3.7681645855075208,68.35528453252152,0.7695763245249535
2055,0.7654485504511048,263788,Denver,Industrial,12.38,0.4203659232310119,11.964372064421443,0.7208925273773507,218514.65,7.445997316076849,57.812428220391965,0.6440106416585355
1424,0.70570052172523,385038,Chicago,Industrial,7.89,0.3457796025673278,14.68644046966864,0.6127915736661812,118446.71,6.329716020945261,31.505882945052488,0.5857047884395413
2187,0.7180046990077391,342920,New York,Residential,9.97,0.44370037323424766,12.826806430615196,0.5632961377543194,218182.18,5.5584038337334425,43.36714791587245,0.5475383058080288
1699,0.7920276959095625,265724,New York,Mixed-use,13.12,0.43994558223664704,20.56283072839699,0.8021876972400152,160425.36,6.875255787596262,51.90824383045551,0.6760968460013472
1854,0.5465811152202391,213127,Chicago,Commercial,9.98,0.14278776324853898,13.500126687102288,0.7190888561918785,213021.31,7.723688414119996,45.13096768767146,0.7303204371773359
1699,0.6613935193864982,310534,San Francisco,Mixed-use,9.67,0.1457285100999426,16.564343779887633,0.8351567893973865,195499.14,7.474079939277534,38.72507765669867,0.7724713117189776
2926,0.44971238891836157,176984,Denver,Industrial,9.01,0.08312151937273125,16.719800034828705,0.5105027848962219,316099.24,6.603453328441251,55.081432267784514,0.6610525062093964
1993,0.7598834683907918,285726,New York,Industrial,10.78,0.2167183814932007,11.51997974963832,0.6996162243458791,211714.36,8.633610944568392,55.709601764688564,0.7009591371410714
1471,0.7970793909554111,287910,Chicago,Mixed-use,9.9,0.5176728696325397,14.709688943584677,0.6521313700490237,160850.23,6.394790470528555,47.44713899515107,0.5527834001665937
2411,0.6275220306550938,329515,New York,Industrial,8.74,0.34856253423072364,18.61297878932115,0.732228249219365,228175.78,6.086241769941298,42.80094401797027,0.6408662859954566
1389,0.9360980144935049,456974,Chicago,Commercial,12.19,0.4082345103433637,12.380295567471052,0.9808196946492151,133595.09,7.427783404186257,49.46951358997081,0.7509340737223406
2104,0.5161351505496488,279431,Denver,Industrial,8.84,0.11572909995059828,17.486896828443804,0.4845123332185965,214919.79,3.4789407541121364,34.21281134385879,0.6359132933071994
1020,0.48034376796852696,211827,Chicago,Commercial,7.14,0.40742241137201257,14.006760086097216,0.4320145577372997,119871.55,7.231510579290233,25.43118622748884,0.48123685854611487
1335,0.7336677727839958,248081,Austin,Mixed-use,9.45,0.1913775603405603,18.490962069109813,0.79371143054658,145461.59,5.393562136450883,45.79898316333747,0.7354335480824079
2098,0.8570647453918231,117319,Chicago,Mixed-use,13.45,0.4209368606222397,20.24249082566757,0.7744025936071084,214079.02,3.3400292181239704,57.37999900835541,0.6758862931939476
2369,0.9525891537186802,197896,Chicago,Industrial,13.96,0.14325836232019162,8.976480301006653,0.9765123704086844,262524.34,6.850368959923232,55.76086472484495,0.8729016032353972
2085,0.6311673605696589,219303,Denver,Commercial,9.23,0.11334849802239527,10.985594729673057,0.5091851858935745,197732.25,5.083454985412419,47.61840482114493,0.6506346751484717
1942,0.8618021250146943,210693,Chicago,Industrial,14.19,0.463230526112264,13.684471158810714,1.0,212102.65,2.7710314227401014,53.69433993163725,0.7566077895550944
1849,0.6942237295748939,261426,Denver,Residential,10.23,0.40467795396014067,19.396273262532844,0.6255189910140644,178293.62,4.257720101834506,40.94474115418526,0.5906364148215696
1260,0.674105905008877,188318,Austin,Residential,9.76,0.07691820392379461,16.597398164003828,0.7389458006363236,114894.93,9.379302634407425,55.9805577025931,0.7624110386850117
1640,0.8325489906230008,334077,Denver,Residential,11.89,0.20273826198621475,11.26574520308656,0.7127468259895055,171197.9,4.88660906225145,55.64056845021749,0.7229034256013163
1769,0.7978484317620129,250015,New York,Residential,11.41,0.05876076875048655,17.03676097632749,0.7815231158520746,190123.46,6.645936770143729,61.25807980282852,0.8032049388406353
2528,0.4635411764523626,249302,Denver,Industrial,8.77,0.3354351435063484,12.258795802194637,0.5520030321287046,248683.76,3.8317428647124046,38.87539684697893,0.5743271554489425
2171,0.9214810524588843,225407,Austin,Residential,12.46,0.20683367928429922,17.611595802646068,1.0,222788.08,10.0,53.11881447528296,0.8418665282862804
1118,0.9070137031221177,261639,Seattle,Commercial,10.54,0.22420926337272964,16.616894992061972,0.9833425294324094,120478.63,6.138673616944976,51.86239838548138,0.8090533064238719
2162,0.6061655947735706,311882,Chicago,Mixed-use,8.37,0.4401203933757251,12.245664556725503,0.5923411618412645,239351.57,4.631892437797638,32.73146443644019,0.5445883073862158
1807,0.7593705300156113,184965,Denver,Mixed-use,11.8,0.05854449249106166,14.802136699434318,0.6927754304050586,209291.91,7.770188639756722,50.399957806021995,0.7716923751655987
1661,0.7741045279424108,200641,Chicago,Residential,11.13,0.06251603714740835,18.674051284767764,0.6663368160904969,156435.92,10.0,46.13136564999549,0.7528283115772354
2305,0.7391010648735861,227220,San Francisco,Residential,10.68,0.3535141833661431,9.323888078510242,0.8894809236506986,272126.2,5.183481298533373,48.2460626053188,0.7211866961138222
2515,0.617454226923187,149059,New York,Residential,11.44,0.03181927676112056,15.903326421356146,0.6277913509220495,265310.35,4.591910472979046,67.27033965415247,0.7527888296643717
2465,0.5992564948092922,188555,New York,Industrial,10.9,0.10485783250248154,11.679302034349073,0.6280804175181488,274867.41,10.0,47.021574904385886,0.7182890340062669
1580,0.6961668893512831,214283,San Francisco,Mixed-use,9.22,0.31075118526518025,14.951437172253573,0.812703874727894,170625.4,5.754643912480772,35.10011949181549,0.6929810757850856
1845,0.8759093528889046,315579,San Francisco,Residential,11.98,0.0557441986151401,16.37328671057184,0.9345824812444082,162771.19,5.526795192433938,60.77409781190857,0.8713353130517073
2165,0.7815400231891648,269692,Denver,Commercial,12.19,0.29955757928756227,21.039506921785023,0.7687982978794016,179386.56,1.7112396991887193,48.38921018349591,0.7095962874367358
2487,0.644407850187084,264519,San Francisco,Residential,9.7,0.4035697437615698,14.92110665748594,0.7188481950251353,271210.98,5.932672511715081,52.198848872363016,0.6231113805054262
1760,0.8157548065972516,313817,Seattle,Mixed-use,11.72,0.3271252946093014,19.396576977665777,0.7535001717460796,176778.11,3.2881083242417493,47.72913940923489,0.6877499508547114
1907,0.27271860690548866,239697,Chicago,Residential,5.55,0.1932078728964294,12.478505439752983,0.11760445915732246,206124.84,4.879813765703648,21.39113088230674,0.42525863450435725
1446,0.8723148550558155,279284,Chicago,Mixed-use,10.48,0.15770608669165936,13.514939811049569,1.0,143260.59,1.9713967323517592,45.22317084554694,0.8417175653233363
1401,0.439042933183285,242258,Austin,Residential,6.61,0.39653578099253983,16.761175787546048,0.3851225852099071,129577.62,8.470296990741458,29.793088620062058,0.4615347216869469
2406,0.6456338587895302,269902,San Francisco,Commercial,10.77,0.2408283004098671,15.605283145220884,0.615204862517795,219910.12,3.0667784949153067,59.84468173854687,0.6574506248431712
2678,0.5320495158060784,206293,San Francisco,Residential,9.19,0.20329848308422416,14.014743354518094,0.5104411732934594,292494.6,2.1184987147687595,38.36780891731229,0.6147570760836941
1963,0.5057977786418641,67088,Seattle,Commercial,8.46,0.3214278311660087,13.933456662936944,0.4455772426701031,178772.77,4.183565608964676,40.20433053153117,0.5342597646016378
2501,0.8741240181067779,239929,New York,Commercial,12.45,0.20682371514881992,18.9998836677555,0.9842574042576377,271576.27,8.494672932805267,51.58399129359403,0.8354734756435271
2180,0.6298448198032163,356706,New York,Residential,8.96,0.05019370254105067,14.13467348691728,0.6672904391574124,207881.32,5.110013800931576,48.592495546381365,0.7364386946465448
1677,0.7519755822596074,319466,Chicago,Commercial,10.21,0.53479523085273,11.93745203785171,0.7215968922798607,185871.86,5.377482370088855,49.145898943929865,0.5768206645708523
2180,0.6929619131681224,322404,Chicago,Industrial,9.79,0.5118972270577439,12.435373127226836,0.5653950250646279,186853.03,6.956897720858591,45.97383746483994,0.5192991192027536
2769,0.7715561240834682,342709,Denver,Residential,10.68,0.6136653053778076,17.00970340704485,0.8019359056195436,244223.58,5.696683676768592,41.79081506414993,0.5821082400966944
1982,0.7115232836590383,256649,Seattle,Residential,9.87,0.18737033901232872,21.76956735363736,0.4664623159012352,212939.07,8.475917642416334,40.43852600470696,0.6103367907555627
2782,0.5075511663717145,264798,Austin,Commercial,8.99,0.6417183462046719,13.428051950106049,0.5308257692286591,284902.52,5.520739664738786,32.119489244665594,0.4455429692095949
690,0.849440022917071,203676,Austin,Commercial,11.14,0.38472183744828214,21.44587657607029,0.9837580674026107,60827.04,5.553503510203257,46.45111671515787,0.7510144919817315
2410,0.6259365125258031,226294,Seattle,Residential,10.99,0.1036478586366022,14.967477697320527,0.6323923534807084,279832.52,10.0,50.64358563113326,0.7213977979376426
2043,0.4665127152010373,296182,Austin,Industrial,8.36,0.45764527681616357,14.160563310061095,0.5871454455736403,185990.16,6.110330798407908,33.67984372478639,0.5354000675029907
1850,0.6357827258551131,340291,New York,Commercial,8.27,0.6577736981965079,12.269168785104744,0.5128649686313377,179159.28,6.461141283532959,27.86179383213441,0.42473650817393194
2045,0.9251139685951466,239541,Austin,Commercial,13.45,0.5430441930568878,14.40595859925255,1.0,180147.15,5.579148544881536,59.92833543002695,0.7172823227772449
1006,0.8275332613170239,216235,Austin,Mixed-use,8.1,0.364072697817407,12.731578079543883,0.9372618051711921,96094.23,1.1435310374258076,36.79026961744153,0.710275642941514
1890,0.6477021798388211,250039,Seattle,Industrial,10.1,0.20791182266874217,12.490857527967949,0.6952987660566434,188368.49,7.745740689877982,46.02777072618653,0.6959547773551604
2178,0.6476113443522357,295090,Seattle,Industrial,10.54,0.4932746743689087,10.043849197183013,0.5877718988632092,199961.92,9.32106507481572,44.99579293562496,0.5431988897977202
2738,0.6517547423173926,141710,Austin,Residential,11.32,0.051644490511675856,20.298350053948838,0.5753025319679377,303271.14,8.511430633881634,62.17403643679319,0.7226632165825049
1740,1.0,77786,San Francisco,Industrial,14.81,0.1517027444567099,18.193157824601936,0.9929092571604621,166617.74,4.883836791372265,68.3579423392817,0.884582605081501
1595,0.757290317834733,208709,Seattle,Residential,9.19,0.10719144437706557,15.814801102867484,0.8775681407672894,174142.74,5.653585552357875,43.885634322198314,0.8000506785560896
1749,0.7645062470786604,158446,Denver,Mixed-use,10.5,0.22199418950565614,14.567952114947756,0.6329541639914928,154406.77,6.698374455709435,42.91834011072379,0.6693839897943348
2457,0.8545425181047763,211889,Denver,Industrial,14.06,0.37282874797712084,14.98325910669961,0.8555835690989462,233615.05,6.627870689930703,65.24274569896708,0.7337019284487303
2164,0.735818373853977,238916,New York,Commercial,11.75,0.2466761594266113,12.669273213322885,0.8092404010203553,173817.53,7.361939513891047,54.80901581795635,0.7425256966374977
1735,0.6611436781268945,216006,Austin,Mixed-use,9.33,0.11456904009807735,11.598445500046303,0.7540785598536498,191449.45,6.4061227097926965,46.66296717819318,0.7491038079022291
2256,0.6705475226372533,358935,San Francisco,Residential,10.82,0.0665000105131145,17.152242339692727,0.7436711727434232,236960.01,5.277344293272473,47.825703777121824,0.7790684648921236
2048,0.6892598110878904,274505,New York,Mixed-use,10.45,0.2680271568529105,14.213331914723222,0.5475004585010191,230836.09,6.273891217275539,50.71728526243047,0.6162893206592435
2484,0.6944166645235237,272535,Austin,Residential,10.61,0.3197810208327607,15.977207139086673,0.8075944529756189,243989.49,7.997570496582836,47.164493938321684,0.7012253728571433
1648,0.8091444315455469,296665,Seattle,Mixed-use,10.79,0.17730860783653152,10.012683109130439,0.8158637971551167,184558.9,10.0,55.55131698789332,0.763322075727434
1836,0.7077918828710948,164587,Denver,Residential,10.28,0.38662085448634304,14.05371359407599,0.5992323672737998,194438.46,5.002117537017648,41.47891325214641,0.5878446051149827
1803,0.8098960115823368,327933,Chicago,Industrial,9.9,0.08186222014751084,11.539920586687659,0.8074791908482981,144500.56,6.45240912464814,51.27480837755003,0.7892467882803149
1268,0.6878925129837126,244317,San Francisco,Commercial,10.4,0.6341209094864168,16.45216725703481,0.49202599865248364,114307.37,5.2734375434430785,41.5427390130582,0.44716203566642676
2148,0.7117952785474135,300286,Chicago,Residential,10.05,0.574925177951448,17.985833557731556,0.7696250808484404,214275.14,6.615103220730134,46.37475076742523,0.578379961158797
2130,0.4002698973201838,169610,Denver,Mixed-use,6.67,0.24300499946628298,19.37909816764146,0.3874989506663788,223112.16,7.951305277576211,27.908350521985042,0.5244975804800384
2002,0.8374491512053721,133468,Chicago,Residential,11.19,0.3553466598441726,13.113060801162424,0.7104375855807891,165412.52,5.583752528579415,46.06868513354306,0.6539363702946467
1882,0.7519732713846988,311341,Seattle,Residential,7.97,0.2942289713110573,11.616302723902892,0.7229656107504434,203638.42,1.907935328965201,31.496488273887234,0.6511946557757545
1292,0.8497015164789478,278230,Austin,Residential,11.66,0.28822242358353173,13.744219176083197,0.7789549945746002,131449.95,8.05714744670173,46.99395140829995,0.7128930283964274
1789,0.2655616932709466,182346,Seattle,Mixed-use,6.05,0.18284824116055762,12.902061233958863,0.20120331137602576,180744.77,6.260838215018624,24.077676020860917,0.46784202808618724
1828,1.0,184775,Chicago,Commercial,15.32,0.1063501413291817,16.293700128439312,0.7738967083940166,167594.37,5.315935945069319,62.770035054207014,0.8202186268259339
1598,0.6790615557767239,334407,Seattle,Industrial,8.99,0.2890994633136141,10.791653123622293,0.511845213773257,165861.09,4.869424948772027,46.01184213169493,0.5789983001838571
1919,0.8662274225106275,160794,Denver,Commercial,12.47,0.12876255203045814,9.73681481315778,0.8432575233749193,155630.35,6.622409624889733,69.44498820657505,0.8104979885377845
2202,0.5440141109311704,373200,San Francisco,Residential,7.82,0.28975110523172143,13.960655107927877,0.5038390514300343,181858.81,4.6082538588345905,32.567051394420275,0.5638351784793252
2943,0.7919160857593854,182453,Seattle,Mixed-use,13.08,0.32292785986204764,17.17951819319827,0.8893139019407581,321831.19,4.841985920276157,61.13194977923653,0.7573544168314843
2087,0.5419876655239515,297879,Denver,Commercial,9.61,0.3082064136612674,11.917629926728141,0.47880936765690363,193831.49,3.502762726791649,42.705917271041535,0.5643411815982544
2128,0.6064346558956292,225353,San Francisco,Residential,9.67,0.15556985489127473,17.547339886819227,0.5537365239305022,199773.84,4.635273759617496,38.6733062951973,0.655966667615691
1962,0.9871047030800179,295239,Austin,Industrial,14.02,0.4323577300945919,16.0960132020808,0.9390807114973538,173314.07,7.261727517675043,66.5841430553587,0.7428891925611049
1040,0.6713976398854979,209191,Chicago,Industrial,8.3,0.3596556902823915,19.64038676021812,0.6516946673055884,101737.82,3.2376598820791243,40.184138638538045,0.5998155908092788
1986,0.7326149309769584,237790,Austin,Industrial,12.23,0.1909923895699258,12.593236000688732,0.7417613376793551,163010.36,8.304134686664048,52.12523395382751,0.7426075792437719
2030,0.8305101596033131,253068,New York,Residential,10.18,0.1681265235612631,10.180584399609412,0.7898773985201871,186789.49,3.6420934943199135,49.186916630664555,0.7505003499835697
3231,0.7743522831958907,174835,Denver,Mixed-use,12.58,0.517637970775934,16.795625280645325,0.8314744319418482,326605.5,6.299871627618017,51.233434195188096,0.6513345844663657
1903,0.7225628357715365,305561,San Francisco,Commercial,10.69,0.255639728814536,15.83962361353428,0.9525849331343957,187683.9,6.969897615202879,54.28681545493178,0.7856780817279438
2150,0.7547441503699338,211508,Seattle,Industrial,13.33,0.2555851612441491,15.607494021583557,0.6721997608855104,257971.59,7.6492839071994245,61.123918996690314,0.6999458398565446
1982,1.0,232855,Austin,Residential,13.91,0.02591626659512828,11.856516887237152,1.0,189381.26,7.64978385696567,68.75270975552813,0.9287334933619488
1415,0.6913571804449622,175423,San Francisco,Residential,8.94,0.4154717325007917,17.32545182197699,0.6943098050730945,135104.15,5.831946286048625,45.494959447250075,0.6009352290289212
2571,0.7301648570072451,57824,Denver,Commercial,13.76,0.5687938367180344,13.099722578774786,0.8348683102519202,257468.35,5.656896721903431,50.99704506161682,0.6440297894135543
2375,0.8575981594011417,235672,New York,Industrial,13.39,0.23596632189156563,15.606181436029896,0.8778981496917215,208078.8,7.193068662983469,63.470925716101355,0.7906727311200624
2395,0.8658288899436976,430946,Austin,Residential,13.52,0.04724151570647977,13.621295664747175,0.7931837709061618,275549.96,6.55605460667886,67.09842384376385,0.8335769020798729
1545,0.878054545834057,308845,Chicago,Commercial,10.28,0.20201040655797092,16.063144770853008,0.7615491710988895,158966.15,5.30835715385791,44.341721296935084,0.7266155058163675
2701,0.7958095333043776,248555,San Francisco,Mixed-use,14.02,0.3295736677945045,11.414608646055031,0.8568584937135972,236835.31,6.741945116937232,73.70763332520741,0.7511139303676372
1299,0.5285492630904274,230283,Chicago,Mixed-use,5.81,0.3403944617957034,16.49903492173798,0.42016906356340555,145147.23,5.665744296868006,23.92485421301369,0.4900098407070809
2293,0.9450147298451643,251684,San Francisco,Mixed-use,13.62,0.2919015929836226,16.97276777857183,1.0,186588.95,4.79892918267781,65.62083361339116,0.8194393628065509
3095,0.5280481910471968,291033,San Francisco,Industrial,10.45,0.11039082344301482,15.347934474848092,0.5833674598196157,369241.45,5.2433189590960065,54.11520344769288,0.6936906545506404
1504,0.7453953197858549,161439,Denver,Commercial,10.83,0.4321724419346481,19.93169017560508,0.7540662348003652,172367.38,6.972837663698562,43.902279504196926,0.6370575171462869
1716,0.5868586224970963,333574,Denver,Commercial,9.3,0.19307610291752145,15.62148096243714,0.4556331192211489,177066.45,4.143824769877451,48.8472991897014,0.598022806521451
2049,0.6903792480110511,303653,Denver,Residential,8.35,0.07016984836989683,17.756261280110007,0.7579115623223249,173041.79,8.212671386961995,45.54927525896983,0.7585966855809713
1748,0.749314361545522,303863,Seattle,Residential,10.53,0.32364870993564154,15.277250393397143,0.9109909690268927,154891.87,4.8854528272722595,45.566523850636415,0.7402369036365004
1224,0.7482035823175409,282885,San Francisco,Residential,10.8,0.1390747753918187,17.488196592014166,0.7056941015106866,111601.15,1.4802156521880487,55.909838540455,0.7346477304475472
2034,0.7632881131352927,251471,Austin,Commercial,11.35,0.1573451677395136,10.400087053015726,0.6890973794025697,182330.34,7.105084634129431,59.802776173383535,0.7262008846652225
1468,0.942056690358797,300464,Chicago,Residential,11.11,0.1288180690684436,15.098834392125259,0.9328541111259744,146654.38,0.597079226371565,56.94911396727636,0.8327144168230123
2236,0.7680301452270969,294386,Denver,Commercial,12.48,0.1258846948919938,11.619193911604915,0.814724372420285,263361.48,3.9761618724453074,55.706208148844325,0.8003358710113165
1540,0.6633765047064026,223446,Denver,Commercial,8.76,0.20967208142033944,15.421281586835354,0.6102545834064298,150561.03,10.0,39.14478474066821,0.6478330007944362
2774,0.8446130752432536,206979,Chicago,Mixed-use,12.9,0.1773176211523974,16.152578130030218,0.9345328898422544,295327.2,8.119986238807964,63.33049974621997,0.8318861074759428
1608,0.878420573338696,257639,Chicago,Residential,10.98,0.09055157755286308,17.42249283913756,1.0,172929.67,7.954751517108827,54.34957095720642,0.8735793689788548
1838,0.5158588277294511,366176,San Francisco,Mixed-use,7.22,0.09513879793646013,16.469729779216742,0.5488834160812445,211118.61,3.762361431981672,30.471360017244997,0.6536978472579138
2406,0.7896100104774787,157066,Denver,Industrial,12.88,0.35767028637511994,13.989441105668579,0.757111400175646,195734.96,5.62673900787372,55.81377711084033,0.6885764455202105
1384,0.8051759113466347,139935,Chicago,Industrial,10.0,0.16816323003211858,12.73921353491757,0.849176288831526,133103.71,8.482859903754465,48.39606849922673,0.772405223519763
2113,0.6553654744960011,262357,Seattle,Industrial,9.01,0.46388487360298913,7.972429500775013,0.7730954307961118,235365.81,7.279275148230678,28.22622960045684,0.6137842228772492
2653,0.9063560219967428,253816,Seattle,Commercial,13.33,0.18016271901763037,15.206557733551655,0.9223196848519445,298713.69,8.271713889958216,63.143396592686244,0.8301627863337256
1196,0.677491661945121,263000,Denver,Commercial,7.85,0.23305478691315526,18.4135851429271,0.7260011650554411,140043.59,9.56307026243529,38.07212788490616,0.6756785512569143
2092,0.7188364680207313,268296,Chicago,Commercial,10.81,0.13298224484895346,15.325180399944584,0.7893130868949606,226169.83,7.320219751399804,52.80504528032529,0.7706323368184028
2129,0.6740392263574195,233259,San Francisco,Residential,10.83,0.0564984668249543,14.745744926315366,0.5864946407720099,191197.31,3.538632235799213,48.73263711636184,0.7202984695788222
2390,0.70233685713722,361739,San Francisco,Mixed-use,10.83,0.13167474622541392,15.429171865648232,0.7482489912781809,239541.65,7.1967637551602355,48.10894388568445,0.7549296980211069
1381,0.5355587369657197,129932,San Francisco,Commercial,8.3,0.33668403319994805,13.836871800170709,0.4013638565481397,112266.75,5.528938334278251,42.20129549933161,0.5088719293392767
1339,0.48399236761085584,187862,New York,Mixed-use,8.77,0.06025734149987045,15.584903657521664,0.4181492538011458,141769.48,3.418280334806315,37.95661915296932,0.6308567649205101
2260,0.9391757594837458,242255,Denver,Mixed-use,14.25,0.24289831957773797,13.785109016062226,1.0,230908.29,7.789115535153015,72.32037280707225,0.845340672168905
2148,0.5729557977522508,126760,San Francisco,Mixed-use,10.61,0.31512590862221257,12.303355802935258,0.6600593212833274,229134.57,8.404145689947331,43.640905401642115,0.644073365064446
2125,0.5512911475815538,236810,Seattle,Residential,8.56,0.5464953435426448,14.774104216074253,0.5242731465583129,249061.95,5.812200892849591,37.52096365934327,0.47671112120626724
2173,0.37699148295944274,374610,Chicago,Residential,7.22,0.23806022391460635,14.708691178155998,0.5475708263040159,233578.08,6.640952304520933,34.04431537815796,0.5960042409557639
1659,0.6041557378465746,251566,Austin,Industrial,8.29,0.12702494691949723,20.625510261378864,0.47313672980656535,153985.06,1.854662099371998,37.16928622968722,0.6213447131548272
2116,0.5015365309888752,267302,Austin,Industrial,8.62,0.4249138969179783,12.582930020993665,0.4810277616931818,186101.07,8.247546216697206,25.769070889929406,0.5086455459100814
2146,0.9463022740204553,155487,San Francisco,Mixed-use,12.78,0.26168040172586565,14.521674887945991,0.9738127029516983,245041.97,7.5865226794559275,60.65923047043164,0.8126529204903331
1642,0.8514725634013951,203772,Austin,Industrial,12.1,0.16167454733034117,14.230004020915437,0.5706478408294922,144123.74,6.500447828240013,58.17432473656963,0.6845893173996604
2932,0.5967774482233414,221860,Austin,Mixed-use,9.96,0.15163678064776173,13.656951502258677,0.5810111907757318,253513.57,3.495100847632619,48.83682828153769,0.6713497640511881
2236,1.0,226171,New York,Residential,15.53,0.4296665396334141,16.539315717319955,0.8875501766771687,197359.38,2.7112511175257215,71.75367665819277,0.7384534548175019
1404,0.8472648230487391,346123,Seattle,Residential,11.65,0.31053794433924864,21.713889053472656,0.7370911167622277,140896.5,10.0,45.46860580284355,0.6871212689691917
2328,0.6512752924737066,291826,Seattle,Residential,9.77,0.14450114677001633,14.037518409988172,0.6240523040367209,197804.33,4.000858975426576,47.92633609915735,0.6895204629066819
1512,0.325089142768964,166640,New York,Commercial,7.64,0.4581260399938943,16.547683474858616,0.14252330573886093,177697.4,6.2683682845802124,32.75018257312403,0.35015890629798674
2393,1.0,268487,New York,Mixed-use,14.36,0.12456133413749204,9.262884027158366,0.9192040216440458,283929.8,4.062615324520941,72.9624867564195,0.8614570750026216
2579,0.49156412998546056,287366,Austin,Residential,7.15,0.5933613091248864,13.819411410047906,0.3113358943849379,306777.4,1.4221826226912224,17.617490698289977,0.35868983410402067
1589,0.4531901879564662,335511,Denver,Mixed-use,5.63,0.3337997953400005,19.6657234188366,0.46556889263429657,129606.77,6.896013999308005,27.24549782841626,0.5090076389177184
2481,0.853385564801446,368540,Chicago,Industrial,11.49,0.52227368817461,14.835058819656057,0.8638202879815642,292380.64,7.2077211976675315,49.14802368157506,0.6515186399227817
