property_size_sqft,market_demand_index,construction_cost_usd,location,use_type,roi_percent,risk_score,tax_saving_percent,demand_forecast,material_cost_estimate,land_score_index,investor_score_out_of_100,recommendation_score
1478,0.24,772841,New York,Residential,8.36,0.32,2.76,0.98,180459.78,0.19,68.49,0.34
1676,0.67,744917,London,Mixed-use,10.67,0.33,6.84,0.55,169516.28,1.12,63.19,0.43
4593,1.0,1494022,San Francisco,Industrial,7.74,0.36,11.37,0.62,84847.1,9.91,77.86,0.4
979,0.64,1032246,Toronto,Industrial,8.66,0.12,9.21,0.73,77700.97,2.8,82.28,0.71
1092,0.58,99675,San Francisco,Residential,5.19,0.42,7.5,0.51,139892.86,9.76,64.3,0.92
2662,0.45,153997,New York,Commercial,8.47,0.37,9.35,0.79,154134.14,1.83,57.82,0.67
4484,0.3,228087,San Francisco,Commercial,6.01,0.18,6.75,0.36,114381.03,3.61,80.67,0.47
664,0.78,1047561,New York,Mixed-use,5.87,0.23,14.17,0.54,107445.11,7.53,72.77,0.78
3168,0.35,566799,San Francisco,Mixed-use,9.24,0.53,2.71,0.55,99492.74,6.58,64.5,0.64
2627,0.29,599349,London,Industrial,9.25,0.29,10.75,0.62,90799.7,5.81,90.63,0.06
3295,0.54,835678,Sydney,Residential,11.22,0.45,13.59,0.3,148408.57,5.3,61.52,0.1
2095,0.84,220905,London,Industrial,11.06,0.33,12.45,0.8,110467.63,8.43,40.11,0.04
991,0.8,350040,London,Mixed-use,9.29,0.56,4.39,0.66,127545.02,2.35,59.38,0.46
4161,0.24,391877,Sydney,Residential,2.7,0.31,5.85,0.77,74354.86,4.42,94.28,0.83
2878,0.56,646088,Sydney,Residential,11.57,0.44,11.32,0.84,145056.78,1.55,65.23,0.31
3699,0.62,1224620,Toronto,Mixed-use,9.29,0.29,3.1,0.49,134694.46,5.96,62.27,0.38
800,0.72,347491,Toronto,Commercial,5.09,0.31,12.55,0.23,86382.77,2.51,70.4,0.91
3704,0.72,569066,London,Commercial,8.82,0.31,11.35,0.77,126475.72,3.34,85.17,0.84
3054,0.49,738003,London,Residential,4.41,0.08,11.48,0.56,120118.58,4.71,68.76,0.67
4245,0.65,382929,New York,Industrial,8.55,0.42,3.3,0.43,108746.13,0.27,78.87,0.27
1404,0.58,885113,New York,Commercial,3.71,0.26,11.33,0.69,47426.82,0.92,67.16,0.12
3331,0.91,446008,Toronto,Industrial,4.98,0.19,10.84,0.97,103491.77,6.86,78.99,0.02
3373,0.62,1013396,Toronto,Commercial,8.77,0.12,12.8,0.58,127560.78,4.29,72.7,0.11
2170,0.55,913731,New York,Commercial,9.68,0.04,2.54,0.74,106285.88,8.65,64.03,0.29
3290,0.52,1145649,New York,Industrial,7.81,0.61,2.3,0.45,114457.62,6.95,73.87,0.55
4440,0.66,833158,San Francisco,Mixed-use,6.28,0.32,6.85,0.35,157418.92,0.08,61.86,0.06
1628,0.84,195359,San Francisco,Commercial,1.71,0.24,3.93,0.74,118062.3,6.17,49.33,0.14
1102,0.63,1005431,New York,Commercial,6.48,0.19,9.26,0.68,67580.01,0.94,69.7,0.18
1470,0.73,146707,San Francisco,Industrial,8.33,0.38,13.93,0.53,115378.74,7.81,50.66,0.63
806,0.79,331351,Sydney,Mixed-use,6.21,0.31,7.09,0.86,122484.85,9.92,78.96,0.62
2084,0.62,550670,Toronto,Commercial,6.94,0.21,12.98,0.34,99366.13,5.31,69.44,0.55
1463,0.54,1367087,Toronto,Commercial,6.54,0.11,2.0,0.42,138368.71,6.83,91.35,0.25
3390,0.9,1364294,New York,Mixed-use,6.2,0.26,4.19,0.52,83444.28,2.37,65.05,0.37
1163,0.53,130601,London,Commercial,7.19,0.66,2.4,0.55,116556.47,4.38,69.7,0.1
4791,0.57,1074969,New York,Mixed-use,6.32,0.24,6.27,0.82,83156.03,8.56,47.96,0.23
2357,0.99,575479,San Francisco,Mixed-use,10.61,0.32,13.81,0.61,112607.81,1.67,53.44,0.9
2278,0.2,331924,London,Industrial,1.48,0.19,3.26,0.57,137703.25,2.66,44.82,0.98
3842,0.35,863441,San Francisco,Residential,5.64,0.37,9.88,0.41,115958.0,4.45,86.16,0.65
1659,0.51,329430,Sydney,Mixed-use,4.82,0.22,7.87,0.76,114498.66,7.12,63.11,0.92
2322,0.95,1251364,San Francisco,Industrial,7.55,0.17,14.2,0.43,120694.25,3.76,89.91,0.64
3914,0.26,360466,Sydney,Residential,7.19,0.51,3.59,0.41,121944.19,9.28,29.79,0.03
3757,0.21,530930,Sydney,Commercial,11.06,0.09,4.76,0.54,137343.8,0.94,93.22,1.0
3225,0.24,1478616,San Francisco,Residential,11.88,0.63,2.38,0.62,137495.39,3.71,68.98,0.1
3329,0.27,1190868,San Francisco,Mixed-use,5.07,0.28,7.64,0.49,155542.4,7.09,75.1,0.68
2197,0.23,633343,Sydney,Mixed-use,7.0,0.42,5.61,0.71,124190.42,2.26,54.06,0.25
3660,0.58,385035,London,Mixed-use,7.49,0.31,13.31,0.56,78481.89,6.56,77.91,0.39
3293,0.66,1481256,Sydney,Mixed-use,5.01,0.09,9.86,0.76,141448.71,1.64,64.39,0.65
4227,0.42,348448,Toronto,Mixed-use,8.57,0.27,9.98,0.68,153745.61,0.56,52.09,0.44
1963,0.52,1288948,Sydney,Industrial,6.4,0.15,8.91,0.87,181542.38,1.21,51.89,0.25
2581,0.27,1021763,London,Mixed-use,4.33,0.29,3.19,0.53,156292.65,9.3,51.62,0.33
2263,0.47,171006,Toronto,Industrial,6.3,0.27,7.79,0.73,107742.54,5.52,75.7,0.34
2129,0.62,209350,New York,Commercial,4.51,0.09,14.99,0.33,124679.6,7.96,60.47,0.96
2638,0.79,768725,New York,Mixed-use,9.59,0.66,12.86,1.03,113234.33,3.33,45.4,0.8
3902,0.2,885878,London,Mixed-use,11.75,0.52,13.61,0.72,109836.83,5.93,75.54,0.46
2837,0.57,868768,Sydney,Residential,7.61,0.19,12.7,0.56,117162.87,4.95,37.41,0.2
1906,0.44,286487,San Francisco,Commercial,7.28,0.23,3.34,0.56,152143.58,9.46,89.94,0.81
4629,0.88,177852,London,Mixed-use,7.38,0.2,4.96,0.56,80270.72,7.48,99.8,0.16
3275,0.77,1267169,Toronto,Mixed-use,9.96,0.26,2.04,0.88,94936.36,7.31,50.31,0.21
1882,0.67,807067,Toronto,Commercial,9.9,0.13,5.95,0.73,150487.33,0.46,85.79,0.37
1309,0.42,758841,New York,Industrial,6.71,0.26,3.41,0.53,156341.7,5.5,75.24,0.88
4348,0.93,360618,Toronto,Mixed-use,7.63,0.23,8.15,0.41,103512.61,4.67,62.5,0.13
1263,0.24,1306408,London,Residential,8.63,0.36,10.8,0.78,161268.71,9.28,63.2,0.12
2598,0.29,922150,Toronto,Mixed-use,4.16,0.58,13.37,0.73,144397.05,2.57,79.82,0.49
4045,0.51,1435349,London,Residential,10.03,0.64,11.74,0.71,113305.97,2.7,69.4,0.28
4343,0.3,125232,San Francisco,Residential,11.34,0.28,14.2,0.59,59118.36,4.11,31.09,0.57
2095,0.97,428688,New York,Mixed-use,9.91,0.51,2.7,0.56,78299.62,2.43,101.1,0.45
3904,0.84,540385,Toronto,Mixed-use,3.89,0.7,2.16,0.85,103545.58,1.29,76.5,0.43
4363,0.41,863301,London,Residential,2.07,0.21,10.6,0.87,138998.42,8.57,69.22,0.11
2453,0.67,392813,Sydney,Commercial,8.77,0.1,5.76,0.7,139077.5,5.58,59.22,0.14
1891,0.99,1337669,New York,Commercial,5.1,0.16,5.3,0.75,108338.77,8.61,67.17,0.82
4181,0.91,1106657,San Francisco,Mixed-use,7.72,0.05,6.3,0.64,114218.14,8.31,89.04,0.89
4057,0.68,1459904,London,Industrial,10.84,0.58,5.51,0.39,119187.97,2.82,73.92,0.23
2236,0.92,1141716,San Francisco,Commercial,5.36,0.43,8.65,0.45,114531.55,5.48,75.63,0.11
4296,0.99,618645,San Francisco,Mixed-use,6.06,0.53,7.72,0.77,124090.84,0.83,51.26,0.05
3599,0.79,1240248,Toronto,Commercial,7.69,0.4,8.66,0.79,119248.97,9.15,64.76,0.61
3752,0.25,410817,Toronto,Industrial,3.76,0.08,10.75,0.76,78144.32,4.04,70.77,0.72
1298,0.52,812303,London,Mixed-use,5.11,0.25,7.03,0.65,114810.96,3.94,80.45,0.37
2760,0.87,700399,Sydney,Industrial,7.06,0.57,5.27,0.76,119435.05,3.03,63.76,0.68
4697,0.38,944690,London,Mixed-use,6.25,0.39,4.16,0.59,144744.98,4.61,83.92,0.71
1454,0.86,486140,Sydney,Industrial,8.52,0.33,6.54,0.69,99217.35,2.52,52.83,0.94
4074,0.3,1197862,San Francisco,Commercial,13.91,0.11,11.64,0.57,125097.63,3.75,71.04,0.06
2307,0.24,173269,New York,Commercial,7.25,0.06,11.84,0.44,134071.0,8.0,68.54,0.19
3377,0.51,338635,London,Industrial,4.9,0.33,10.67,0.73,116291.32,8.34,47.27,0.07
2333,0.23,1202647,London,Industrial,10.55,0.5,5.04,0.79,76130.05,3.04,69.28,0.87
4110,0.97,1349671,Sydney,Industrial,3.03,0.57,9.65,0.97,145251.73,4.69,61.26,0.79
802,0.86,593317,San Francisco,Mixed-use,3.53,0.28,9.42,0.64,138678.53,8.74,91.21,0.57
3855,0.84,1159227,San Francisco,Commercial,5.51,0.64,8.3,0.44,125719.33,0.53,63.85,0.08
4818,0.7,150202,Sydney,Mixed-use,6.29,0.11,9.15,0.55,121008.26,8.89,75.26,0.27
1366,0.37,1177353,San Francisco,Commercial,5.45,0.51,8.39,0.58,75464.38,2.19,51.53,0.3
4989,0.61,228066,Toronto,Residential,6.92,0.12,9.35,0.62,139366.42,6.79,73.55,0.56
2927,0.68,933695,New York,Mixed-use,7.69,0.11,11.3,0.67,157159.9,5.83,63.77,0.26
3531,0.62,270706,London,Commercial,9.67,0.36,3.43,0.65,92156.36,5.53,58.36,0.07
797,0.41,704446,New York,Commercial,7.23,0.19,11.75,0.72,153625.47,8.59,112.51,0.73
2530,0.61,877232,London,Mixed-use,5.6,0.18,3.77,0.63,148286.44,1.02,64.7,0.3
4182,0.59,904255,Toronto,Mixed-use,9.54,0.3,2.87,0.27,91420.12,3.47,66.82,0.45
1208,1.0,1454598,San Francisco,Commercial,4.96,0.4,14.69,0.63,110146.41,5.38,83.53,0.13
3872,0.92,360852,Sydney,Mixed-use,2.92,0.37,14.44,0.61,85114.06,8.11,58.47,0.8
1747,0.57,748179,Toronto,Industrial,10.01,0.11,2.79,0.68,118371.54,2.16,76.05,0.57
4882,0.7,668158,New York,Mixed-use,9.85,0.47,7.76,0.55,131207.94,8.03,77.65,0.9
3997,0.8,613571,Sydney,Mixed-use,5.02,0.56,4.42,0.63,86988.3,4.0,73.67,0.5
3111,0.23,945139,San Francisco,Mixed-use,6.0,0.51,8.31,0.68,129645.07,1.89,104.45,0.94
2394,0.92,1331703,Toronto,Commercial,4.71,0.21,12.79,0.58,135978.14,7.59,57.94,0.89
1259,0.89,1270631,Sydney,Industrial,7.82,0.3,14.36,0.7,136336.97,0.91,93.06,0.58
3411,0.57,884565,Toronto,Residential,11.33,0.16,10.25,0.61,131362.56,5.15,77.08,0.93
1969,0.51,605069,Toronto,Residential,8.76,0.35,6.6,0.62,89287.73,0.64,83.64,0.32
2586,0.42,194586,San Francisco,Industrial,9.59,0.39,9.84,0.16,116963.15,3.56,75.12,0.37
746,0.58,369768,London,Industrial,9.05,0.39,6.06,0.43,128808.8,6.01,98.17,0.05
3819,0.24,611111,Sydney,Industrial,7.0,0.52,13.83,0.43,156525.64,5.56,65.2,0.59
3511,0.88,622777,San Francisco,Commercial,9.71,0.22,13.32,0.63,120061.65,4.05,77.46,0.72
2334,0.23,1116059,Toronto,Residential,8.86,0.44,9.26,0.79,130638.53,4.29,89.58,0.77
2443,0.46,251033,San Francisco,Industrial,10.6,0.47,6.22,0.58,96699.33,2.27,61.62,0.15
1088,0.95,1419838,London,Commercial,5.85,0.22,5.81,0.73,91127.65,4.56,85.01,0.44
3576,0.79,1228993,Sydney,Residential,2.65,0.17,2.43,0.7,87923.2,9.53,69.72,0.18
2559,0.43,1210392,London,Mixed-use,9.61,0.63,12.61,0.62,109493.29,8.5,51.48,0.66
2985,0.4,355709,New York,Commercial,7.87,0.41,7.85,0.69,171551.28,1.45,48.23,0.16
3519,0.2,254023,Sydney,Residential,6.26,0.3,6.23,0.64,109948.09,0.3,68.64,0.9
2402,0.76,957611,London,Commercial,6.4,0.19,8.12,0.58,129115.66,9.34,84.86,0.23
4661,0.24,627936,Toronto,Residential,13.39,0.32,12.64,0.66,133927.45,5.27,38.82,0.29
3969,0.63,523945,Sydney,Residential,5.39,0.05,3.62,0.82,92711.77,5.38,73.01,0.85
862,0.97,1170547,Sydney,Mixed-use,4.87,0.12,13.15,0.67,109122.33,7.81,83.39,0.46
1223,0.29,98658,San Francisco,Commercial,7.21,0.18,13.67,0.63,135610.38,3.15,50.83,0.02
1616,0.92,101253,Toronto,Industrial,9.95,0.48,14.31,0.47,130708.19,4.82,60.49,0.49
4243,0.99,259635,New York,Mixed-use,12.7,0.44,7.17,0.81,70150.13,9.69,78.59,0.08
2649,0.25,237462,London,Mixed-use,8.64,0.44,4.82,0.39,134860.26,6.72,82.73,0.99
4323,0.91,1479384,San Francisco,Residential,3.82,0.07,6.86,0.34,106225.24,1.54,94.06,0.59
3708,0.61,290097,London,Industrial,11.93,0.17,6.33,0.66,106879.57,1.33,61.2,0.26
4690,0.93,708138,New York,Commercial,6.95,0.5,4.29,0.47,130121.64,2.04,57.77,0.56
2656,0.66,1030162,New York,Industrial,4.91,0.28,9.89,0.76,158073.4,7.67,94.79,0.08
3770,0.73,742212,Sydney,Industrial,4.3,0.59,8.2,0.35,114989.13,2.95,58.68,0.8
2282,0.64,600498,New York,Industrial,9.09,0.09,13.25,0.74,149476.26,0.21,77.61,0.93
2855,0.89,1354634,London,Industrial,7.6,0.15,2.42,0.72,83976.93,9.44,102.75,0.87
1754,0.79,737911,Toronto,Industrial,7.86,0.44,10.37,0.62,123268.58,1.7,81.29,0.34
3791,0.62,938379,Toronto,Residential,10.22,0.16,11.92,0.29,106473.61,0.1,81.75,0.33
2296,0.89,1308807,Sydney,Residential,4.99,0.29,11.87,0.34,127050.17,2.37,89.17,0.04
4591,0.4,202775,London,Mixed-use,10.42,0.34,13.52,0.64,112592.31,2.35,77.87,0.65
2248,0.33,1049211,London,Residential,5.7,0.45,11.48,0.57,86473.46,4.22,81.82,0.53
2045,0.33,757160,New York,Mixed-use,12.41,0.17,14.06,0.71,97814.77,9.2,64.86,0.46
4799,0.47,399972,London,Mixed-use,8.5,0.18,6.32,0.59,78919.97,8.79,87.4,0.91
4523,0.39,1390292,San Francisco,Commercial,4.7,0.51,8.54,0.58,87327.47,4.57,76.2,0.17
853,0.94,348854,New York,Industrial,1.94,0.62,2.18,0.24,132008.11,4.11,47.83,0.01
3783,0.28,494600,San Francisco,Residential,9.02,0.29,2.09,0.72,113724.07,5.55,73.64,0.07
3157,0.76,251918,Sydney,Commercial,6.06,0.42,5.12,0.5,125771.61,2.43,37.46,0.22
698,0.35,299055,Toronto,Residential,6.61,0.25,3.31,0.54,165389.44,0.52,80.71,0.03
2800,0.91,1428711,Sydney,Mixed-use,8.92,0.17,5.38,0.44,112600.71,9.39,66.5,0.5
3561,0.97,814417,Toronto,Residential,9.53,0.4,4.3,0.37,135857.1,1.87,98.58,0.31
4377,0.57,1110697,Sydney,Industrial,10.06,0.26,2.37,0.82,120703.39,1.98,77.34,0.18
3469,0.9,502355,London,Mixed-use,4.06,0.32,13.82,0.72,189067.11,4.72,83.86,0.75
3834,0.2,951877,San Francisco,Mixed-use,10.56,0.17,2.11,0.72,44558.83,4.92,54.26,0.2
4391,0.86,1336715,Toronto,Commercial,5.55,0.37,11.57,0.57,102058.44,0.18,80.27,0.69
1556,0.38,160257,New York,Industrial,1.36,0.17,3.98,0.34,136350.6,1.48,60.39,0.35
4667,0.93,904143,San Francisco,Mixed-use,4.05,0.71,13.86,0.92,101177.37,3.78,86.36,0.51
760,0.2,1135106,New York,Industrial,7.55,0.31,13.61,0.66,134151.79,6.84,53.22,0.93
1900,0.64,1401836,San Francisco,Residential,4.55,0.36,10.5,0.62,118498.02,2.28,71.65,0.04
4587,0.81,997786,San Francisco,Industrial,6.78,0.38,10.74,0.55,141623.72,4.23,52.63,0.5
2127,0.41,290545,Sydney,Mixed-use,7.85,0.1,2.07,0.29,91696.93,5.57,71.89,0.85
1818,0.35,608423,Toronto,Commercial,6.55,0.34,14.8,0.77,124321.06,8.89,100.34,0.59
3704,0.27,1004133,Toronto,Mixed-use,5.76,0.28,13.41,0.44,131650.46,3.26,80.82,0.28
3335,0.46,451616,San Francisco,Industrial,3.87,0.36,13.64,0.68,123294.73,1.34,69.51,0.4
1554,0.65,855158,London,Industrial,7.05,0.22,10.57,0.72,123735.31,4.89,33.07,0.68
4046,0.29,693375,London,Mixed-use,1.84,0.32,6.48,0.65,150060.77,7.47,61.96,0.89
1645,0.5,996383,New York,Industrial,5.29,0.05,13.62,0.67,78002.36,1.1,77.12,0.04
2293,0.21,359215,New York,Residential,4.68,0.45,5.79,0.8,123124.18,4.25,62.34,0.07
4036,0.85,1148650,Sydney,Mixed-use,6.4,0.47,9.32,0.48,89771.3,0.18,91.41,0.33
1162,0.3,826084,San Francisco,Commercial,6.47,0.45,3.3,0.62,138940.27,0.34,71.07,0.23
3085,0.43,1168477,New York,Mixed-use,9.4,0.4,13.99,0.57,99051.66,4.83,86.18,0.26
3954,0.21,353349,New York,Residential,10.96,0.12,3.83,0.32,58188.86,2.98,73.07,0.22
825,0.55,475807,San Francisco,Residential,4.21,0.43,4.92,0.64,139536.69,8.45,65.86,0.2
1559,0.87,1471405,Sydney,Residential,11.98,0.34,9.26,0.79,113290.72,6.02,62.93,0.13
3667,0.51,1496207,New York,Residential,5.05,0.52,11.93,0.81,128915.74,4.54,54.82,0.93
1415,0.34,658688,Sydney,Residential,7.43,0.05,10.05,0.88,155675.22,4.08,86.45,0.14
3720,0.8,1284798,Toronto,Commercial,8.28,0.13,5.02,0.33,129285.03,4.97,63.58,0.2
616,0.83,111852,Sydney,Industrial,13.11,0.2,2.01,0.84,124235.7,0.4,77.83,0.25
1843,0.34,1040374,London,Residential,5.64,0.43,11.84,0.63,118818.24,8.93,62.11,0.93
2805,0.82,457501,London,Residential,2.51,0.6,14.81,0.84,91317.34,9.98,53.75,0.76
3124,0.96,1185057,Sydney,Mixed-use,10.73,0.4,12.53,0.54,114618.8,1.81,78.33,0.79
1669,0.33,113691,London,Commercial,4.92,0.18,7.98,0.52,169347.46,1.2,58.8,0.1
4044,0.82,474341,Toronto,Commercial,6.1,0.13,13.75,0.42,110619.52,1.44,63.99,0.84
3165,0.77,1326713,San Francisco,Industrial,4.21,0.18,7.33,0.72,116099.66,6.61,51.27,0.41
1660,0.58,1126238,London,Commercial,6.1,0.14,8.82,0.68,151427.12,6.61,62.6,0.26
2927,0.25,612726,London,Mixed-use,4.9,0.25,8.2,0.43,81467.78,8.48,70.36,0.58
4020,0.26,876184,Sydney,Mixed-use,8.69,0.18,7.82,0.28,135503.1,7.52,65.69,0.82
901,0.88,1184002,Toronto,Industrial,7.2,0.23,12.08,0.66,80278.0,4.5,82.27,0.78
4876,0.99,319968,San Francisco,Mixed-use,5.3,0.18,8.85,0.68,129979.72,6.13,72.18,0.89
1206,0.74,368963,Sydney,Residential,9.49,0.04,6.12,0.45,119439.76,6.88,116.31,0.93
3770,0.56,575384,Sydney,Residential,7.64,0.41,5.36,0.42,135310.0,5.13,76.36,0.24
1299,0.72,958483,Toronto,Mixed-use,2.38,0.36,2.49,0.7,94688.14,4.76,43.97,0.42
1739,0.68,601121,San Francisco,Industrial,9.3,0.22,9.58,0.88,106624.17,6.45,66.81,0.01
790,0.51,1283865,Toronto,Commercial,7.46,0.41,4.99,0.53,136601.32,5.57,68.11,0.88
2900,0.25,1390077,San Francisco,Industrial,10.48,0.1,3.93,0.47,107254.19,6.44,60.8,0.15
1580,0.86,599165,Toronto,Commercial,7.31,0.55,10.5,0.64,138887.88,6.13,71.09,0.86
3575,0.5,299780,Sydney,Mixed-use,5.02,0.48,10.86,0.7,125229.25,7.19,60.35,0.33
1784,0.86,1423714,Sydney,Mixed-use,6.49,0.25,11.78,0.55,108856.21,6.43,74.99,0.37
3927,0.4,1226332,New York,Residential,9.01,0.17,8.55,0.9,112116.15,5.2,41.37,0.04
3994,0.2,522632,London,Commercial,5.07,0.45,13.62,0.74,120087.62,6.82,87.16,0.33
